Exhibition Name,Place,Year,From,To,Curated By,Amended
"Power Clashing: Clothing, Collage, and Contemporary Identities",Gallery 407,2017,,,Samantha Lyons,12/15/2016
Art of American Dance,see Venue records,2016–2017,3/20/2016,1/16/2107,,10/14/2016
Wall Drawing 519,"Capitol Federal Hall, University of Kansas, Lawrence, Kansas",2016–,5/16/2016,5/16/2021,Saralyn Reece Hardy,10/20/2016
Otto Dix. Violencia & Pasión.,see Venue records,2016–2017,6/16/2016,1/15/2017,,6/8/2016
"La Fete Perpetuelle. Le Second Empire, 1852-1870","Musée d'Orsay, Paris, France",2016–2017,9/26/2016,1/16/2017,,11/4/2016
Unknown Fabergé,"The Museum of Russian Art, Minneapolis, Minnesota",2016–2017,10/1/2016,4/16/2017,"Marilyn Swezey, Guest Curator",6/8/2016
Otto Dix. Violencia & Pasión.,"Museo Nacional de Arte (MUNAL), Mexico City, México",2016–2017,10/11/2016,1/15/2017,,11/29/2016
The Object Speaks,"Gallery 406, Spencer Museum of Art, University of Kansas, Lawrence, Kansas",2016–2017,10/15/2016,12/31/2017,"Casey Mesick, Kate Meyer, & Celka Straughn",10/19/2016
Material World: Adornment from Around the Globe,"Gallery 405, Spencer Museum of Art, University of Kansas, Lawrence, Kansas",2016–2017,10/15/2016,12/31/2017,"Spencer Museum of Art Interns, 2013–2014",11/4/2016
"Conversation XIX: Phases: Multinational Works, 1900 to Now",mobile app exhibition,2016–2017,10/15/2016,12/31/2017,Susan Earle,9/30/2016
This Land,mobile app exhibition,2016–2017,10/15/2016,12/31/2017,Kate Meyer,1/4/2017
Empire of Things,mobile app exhibition,2016–2017,10/15/2016,12/31/2017,"Kris Ercums, Kate Meyer",1/27/2017
Forms of Thought,mobile app exhibition,2016–2017,10/15/2016,12/31/2017,Kris Ercums,11/4/2016
Material World: Adornment from Around the Globe,mobile app exhibition,2016–2017,10/15/2016,12/31/2017,"Spencer Museum of Art Interns, 2013–2014",9/27/2016
The Object Speaks,mobile app exhibition,2016–2017,10/15/2016,12/31/2017,"Casey Mesick, Kate Meyer, & Celka Straughn",9/27/2016
20/21,mobile app exhibition,2016–2017,10/15/2016,12/31/2017,Susan Earle,9/27/2016
Inventing Childhood,"Gallery 404, Spencer Museum of Art, University of Kansas, Lawrence, Kansas",2016–2017,10/15/2016,2/19/2017,Casey Mesick,11/4/2016
"Conversation XIX: Phases: Multinational Works, 1900 to Now","Gallery 405, Spencer Museum of Art, University of Kansas, Lawrence, Kansas",2016–2017,10/15/2016,12/31/2017,Susan Earle,9/30/2016
